OID,longitude,latitude,code,observation,sitenumber,sitename,unit,sitetypeshortremarks,elevation(masl),youngdatebp,olddatebp,year,month,day,archaeologicalcultureperiod,Country,States.Provinces,US.counties,NISP,MNI,species,specimenID,References,,Reference_number,Reference_citation
5253,-99.71920079,37.8058196,1,Fowler-1822-06-16,SW2231,Fowler-1822-06-16,,"leave river, steer little N of E to cutoff bend, large droves buffalo all day",733.3012085,128,NA,1822,6,16,,United States of America,Kansas,Ford,3,16,,,221,,,
5254,-99.716667,49.783333,2,,,Waggle Springs [DkLw-?],NA,"calcareous silt and clay, eroded from alluvium, stratigraphic position uncertain",373.0522461,7197,7397,-5247,NA,NA,,Canada,Manitoba,.,NA,NA,,,"1352, 838",,,
5255,-99.70311019,31.5547353,1,Mendoza-1684-03-20,SW575,Mendoza-1684-03-20,,"same camp, 1000s Jumanos, 4030 bison kill, deer, antelope, turkeys, fruits, nuts, Apache attacks",487.6775818,266,NA,1684,3,20,,United States of America,Texas,Concho,3,113,,,102,,,
5256,-99.69176299,49.58936925,1,Thompson-1797-12-02,NW2677,Thompson-1797-12-02,1794-1812-Thompson,"same camp, -36,, kill 1 bison cow, kept dogs quiet, presume small herd in area",416.2171631,153,NA,1797,12,2,,Canada,Manitoba,.,3,9,Bison bison,,1285,,,
5257,-99.68884528,35.85624215,1,Long-1820-08-20,SW2002,Long-1820-08-20,,"bison likely abundant thru 28th, berries, grapes good",663.6174316,130,NA,1820,8,20,,United States of America,Oklahoma,Ellis,3,13,,,624,,,
5258,-99.68637964,32.0126667,1,Amangual-1808-04-26,SW1772,Amangual-1808-04-26,,"same camp waiting for guides, hunters out returned w meat, scout to Colorado",611.0003662,142,NA,1808,4,26,,United States of America,Texas,Coleman,3,15,,,778,,,
5259,-99.68333333,36.76666667,3,25264,16294,The Waugh Site [34HP42],,,659.9555054,9000,10591,-7050,NA,NA,,United States of America,Oklahoma,Harper,0,6,Bison latifrons,,551,,,
5260,-99.683333,36.766667,2,,,The Waugh Site [34HP42],NA,eroding from a dry stream bank,659.9555054,10189,10509,-8239,NA,NA,,United States of America,Oklahoma,Harper,NA,NA,,,"1352, 838",,,
5261,-99.67977318,49.60582727,1,Thompson-1797-11-30,NW2675,Thompson-1797-11-30,1794-1812-Thompson,"same camp, too cold to travel, kill 2 bison bulls",416.2171631,153,NA,1797,11,30,,Canada,Manitoba,.,3,5,Bison bison,,1285,,,
5262,-99.67769344,40.66270849,1,Todd-1855-08-25,NW12178,Todd-1855-08-25,1854-60-US Military,"no detailed notes till 30th, good bison chasing this day, kill 1 cow",746.1942139,95,NA,1855,8,25,,United States of America,Nebraska,Gosper,3,9,Bison bison,,843,,,
5263,-99.67659518,49.57156209,1,Thompson-1797-12-01,NW2676,Thompson-1797-12-01,1794-1812-Thompson,"same camp, too cold to travel, kill 1 good bison cow",416.2171631,153,NA,1797,12,1,,Canada,Manitoba,.,3,9,Bison bison,,1285,,,
5264,-99.66849281,35.26585672,1,Marcy-1852-06-07,SW4308,Marcy-1852-06-07,,"kill bull bison after chase, pack of wolves on carcass",588.4398193,98,NA,1852,6,7,,United States of America,Oklahoma,Beckham,3,4,,,826,,,
5265,-99.66527778,44.09166667,3,5024,3943,Jandreau [39LM225],,,486.4769592,650,1050,1300,NA,NA,,United States of America,South Dakota,Lyman,0,14,Bison bison,,"1167, 186",,,
5266,-99.66177597,31.4462004,1,Mendoza-1684-04-30,SW579,Mendoza-1684-04-25,,"same camp, 1000s Jumanos, 4030 bison kill, deer, antelope, turkeys, fruits, nuts, Apache attacks",523.8309326,266,NA,1684,4,25,,United States of America,Texas,Concho,3,113,,,102,,,
5267,-99.652312,36.782669,3,,,Jake Bluff East [34HP60],NA,bison kill and processing site in an arroyo,659.9555054,12723,12813,-10773,NA,NA,,United States of America,Oklahoma,Harper,NA,NA,,,"1352, 838",,,
5268,-99.652312,36.782669,3,,,Jake Bluff East [34HP60],NA,bison kill and processing site in an arroyo,659.9555054,12691,12771,-10741,NA,NA,,United States of America,Oklahoma,Harper,NA,NA,,,"1352, 838",,,
5269,-99.652312,36.782669,3,,,Jake Bluff East [34HP60],NA,bison kill and processing site in an arroyo,659.9555054,12665,12755,-10715,NA,NA,,United States of America,Oklahoma,Harper,NA,NA,,,"1352, 838",,,
5270,-99.652312,36.782669,2,,,Jake Bluff East [34HP60],NA,NA,659.9555054,11478,11548,-9528,NA,NA,,United States of America,Oklahoma,Harper,NA,NA,,,"1352, 838",,,
5271,-99.6496063,31.55447327,1,Mendoza-1684-03-30,SW576,Mendoza-1684-03-30,,"same camp, 1000s natives, 4030 bison kill, deer, antelope, turkeys, fruits, nuts, Apache attacks",487.6775818,266,NA,1684,3,30,,United States of America,Texas,Coleman,3,113,,,102,,,
5272,-99.64882296,37.65811911,1,Pike-1806-11-02,SW1550,Pike-1806-11-02,,"13.5M, tried catching wild horses, killed 1 bison, location getting more accurate",736.8632813,144,NA,1806,11,2,,United States of America,Kansas,Ford,3,4,,,"1020, 494",,,
5273,-99.64227279,37.87679458,1,Dodge-1835-08-27,SW3499,Dodge-1835-08-27,,"20M N75E to small branch, no wood, used bison dung for fuel",697.7520752,115,NA,1835,8,27,,United States of America,Kansas,Ford,2,7,,,"1007, 1010, 958",,,
5274,-99.64163952,44.10624782,1,LewisClark-1804-09-20,NW3598,LewisClark-1804-09-20,1804-06-LewisClark,"20M around Grand Detour bend, herds bison, antelope, k2 deer, 2 ANAM",487.9951172,146,NA,1804,9,20,,United States of America,South Dakota,Hughes,3,13,Bison bison,,1303,,,
5275,-99.64,34.68,2,4920,3850,Perry Ranch [34JK81],Site,KILL/PROCESS,456.414093,8384,NA,-6434,NA,NA,Paleoindian,United States of America,Oklahoma,Jackson,112,2,Bison bison antiquus,,"574, 1134",,,
5276,-99.63245635,49.66826768,1,Thompson-1797-11-16,NW2668,Thompson-1797-11-16,1794-1812-Thompson,"arrive at McDonell's House, 1.5M above mouth Souris R, stay till Nov 22",366.2564392,153,NA,1797,11,16,,Canada,Manitoba,.,2,2,Bison bison,,1285,,,
5277,-99.63,35.26,2,,34BK46,Certain,Trench I,KILL/PROCESS,549.211792,2280,NA,-330,NA,NA,Archaic,United States of America,Oklahoma,Beckham,NA,2,,,1278,,,
5278,-99.63,35.26,2,,34BK46,Certain,Trench E,KILL/PROCESS,549.211792,1810,NA,140,NA,NA,Archaic,United States of America,Oklahoma,Beckham,32,1,,,1278,,,
5279,-99.63,35.26,2,,34BK46,Certain,Trench G,KILL/PROCESS,549.211792,1800,NA,150,NA,NA,Archaic,United States of America,Oklahoma,Beckham,556,12,,,1278,,,
5280,-99.63,35.26,2,,5GN817,Chance Gulch,Stratum B,KILL/PROCESS,549.211792,1760,NA,190,NA,NA,Archaic,United States of America,Oklahoma,Beckham,4,NA,,,1025,,,
5281,-99.63,35.26,2,,34BK46,Certain,Trench H,KILL/PROCESS,549.211792,1738,NA,212,NA,NA,Archaic,United States of America,Oklahoma,Beckham,90,2,,,1278,,,
5282,-99.63,35.26,2,,34BK46,Certain,Trench B,KILL/PROCESS,549.211792,1688,NA,262,NA,NA,Archaic,United States of America,Oklahoma,Beckham,68,2,,,1278,,,
5283,-99.63,35.26,2,,34BK46,Certain,Trench C-BB1,KILL/PROCESS,549.211792,1560,NA,390,NA,NA,Archaic,United States of America,Oklahoma,Beckham,3264,35,,,1278,,,
5284,-99.63,35.26,2,,34BK46,Certain,Trench A ,KILL/PROCESS,549.211792,1250,NA,700,NA,NA,Archaic,United States of America,Oklahoma,Beckham,2683,26,,,1278,,,
5285,-99.62895956,38.04792234,1,Farnham-1839-06-21,SW3672,Farnham-1839-06-21,,"likely 8M, wounded man, many bison, bulls bellowing mixed herds, N of river?",702.6074219,111,NA,1839,6,21,,United States of America,Kansas,Hodgeman,3,20,,,328,,,
5286,-99.62258517,49.6646001,1,Thompson-1797-11-18,NW2669,Thompson-1797-11-18,1794-1812-Thompson,"McDonnell's House,  in region describes bison, moose, elk, 2 antelope species",366.2564392,153,NA,1797,11,18,,Canada,Manitoba,.,1,1,Bison bison,,1285,,,
5287,-99.62037965,31.8647296,1,Amangual-1808-04-23,SW1769,Amangual-1808-04-23,,"Same camp, visit Chiojas camp, hunters out for bison, #4 stampede",600.0603027,142,NA,1808,4,23,,United States of America,Texas,Coleman,3,15,,,778,,,
5288,-99.616667,35.25,2,,,Certain [34BK46],NA,"Feature C-1, a small circular hearth directly above the uppermost ison bone bed in Trench C",549.211792,1561,1681,389,NA,NA,,United States of America,Oklahoma,Beckham,NA,NA,,,"1352, 838",,,
5289,-99.616667,35.25,2,,,Certain [34BK46],NA,"bison bone bed, Trench A",549.211792,1270,1410,680,NA,NA,,United States of America,Oklahoma,Beckham,NA,NA,,,"1352, 838",,,
5290,-99.616667,35.25,2,,,Certain [34BK46],NA,"bison bone bed, eroding from the bank",549.211792,1240,1380,710,NA,NA,,United States of America,Oklahoma,Beckham,NA,NA,,,"1352, 838",,,
5291,-99.616667,35.25,2,,,Certain [34BK46],NA,"bison bone bed, exposure downstream from Trench C",549.211792,1200,1360,750,NA,NA,,United States of America,Oklahoma,Beckham,NA,NA,,,"1352, 838",,,
5292,-99.616667,35.25,2,,,Certain [34BK46],NA,bone bed,549.211792,1187,1367,763,NA,NA,,United States of America,Oklahoma,Beckham,NA,NA,,,"1352, 838",,,
5293,-99.616667,49.5,2,,,Heron [DiLv-14],NA,"on slope, 30 cm depth",400.7049866,522,722,1428,NA,NA,,Canada,Manitoba,.,NA,NA,,,"1352, 838",,,
5294,-99.616667,49.5,2,,,Heron [DiLv-14],NA,"in bottom of swale, 30 cm depth",400.7049866,99,379,1851,NA,NA,,Canada,Manitoba,.,NA,NA,,,"1352, 838",,,
5295,-99.61666667,35.25,3,5248,4158,Edwards II [34BK44],,,549.211792,980,1141,970,NA,NA,,United States of America,Oklahoma,Beckham,11,1,Bison sp,,284,,,
5296,-99.61666667,35.25,3,7160,5832,Hubbard [34BK4],,,549.211792,850,1150,1100,NA,NA,,United States of America,Oklahoma,Beckham,0,1,Bison bison,,68,,,
5297,-99.61666667,36.75,3,5499,4352,Cooper [34HP45],Middle Kill,KILL/PROCESS,596.8011475,10500,10900,-8550,NA,NA,Paleoindian,United States of America,Oklahoma,Harper,707,29,Bison sp,,"81, 82",,,
5298,-99.6068843,40.71456846,1,SmithW-1840-06-15,SW3847,SmithW-1840-06-14,,"met 5 buffalo (probably about 50M below forks), last on trip",719.4178467,110,NA,1840,6,14,,United States of America,Nebraska,Dawson,3,3,,,1211,,,
5299,-99.60544771,49.63006519,1,McDonnell-1795-09-17,NW3286,McDonnell-1795-09-17,1795-Macdonell,"7L, 3 days travelling up to Souris R, Mandan leaving point, bison dung",366.2564392,155,NA,1795,9,17,,Canada,Manitoba,.,2,12,Bison bison,,1413,,,
5300,-99.59666667,44.19027778,3,5033,3952,Jiggs Thompson [39LM208],,,496.3574524,670,670,1280,NA,NA,,United States of America,South Dakota,Lyman,0,10,Bison bison,,"1167, 186",,,
5301,-99.58835172,31.8500774,1,Amangual-1808-04-22,SW1768,Amangual-1808-04-22,,"Same camp, Comanche chief Chiojas visits Cordero, drying meat",600.0603027,142,NA,1808,4,22,,United States of America,Texas,Coleman,2,7,,,778,,,
5302,-99.58596124,37.68498944,1,Fowler-1821-10-23,SW2061,Fowler-1821-10-23,,"10M W10S, large herds bison moving N, were moving S, suspect Indians to S moving them",708.0618896,129,NA,1821,10,23,,United States of America,Kansas,Ford,3,16,,,221,,,
5303,-99.583333,49.583333,2,,,Treesbank [DjLv-?2],NA,base of 4.5 m layer of silty sand containing bison? bones and wood,400.7049866,10182,10402,-8232,NA,NA,,Canada,Manitoba,.,NA,NA,,,"1352, 838",,,
5304,-99.5791,40.4376,1,,11Ml6,"Mesquakie Fort (Fox Fort, Arrowsmith Site)",,Structures and midden,710.2328491,220,220,1730,NA,NA,1730,United States of America,Nebraska,Phelps,20,2,,,1299,,,
5305,-99.56834509,31.844631,1,Amangual-1808-04-21,SW1767,Amangual-1808-04-21,,"Same camp, hunters return with large amount meat, scout local streams",600.0603027,142,NA,1808,4,21,,United States of America,Texas,Coleman,3,23,,,778,,,
5306,-99.56702589,44.06146867,1,LewisClark-1804-09-19,NW3597,LewisClark-1804-09-19,1804-06-LewisClark,"23M in Lyman Cty, herds bison k3, gangs elk k1, md k2, wtd kill several",487.9951172,146,NA,1804,9,19,,United States of America,South Dakota,Lyman,3,16,Bison bison,,1303,,,
5307,-99.554167,49.415278,2,,,Lowton [DiLv-14],NA,cultural layer,453.5631409,479,699,1471,NA,NA,,Canada,Manitoba,.,NA,NA,,,"1352, 838",,,
5308,-99.554167,49.415278,2,,,Lowton [DiLv-14],NA,ice-glider from the cultural layer,453.5631409,391,551,1559,NA,NA,,Canada,Manitoba,.,NA,NA,,,"1352, 838",,,
5309,-99.541667,30.133333,2,,,Hall's Cave [41KR474] [41229],Unit 6,NA,656.6297607,2345,3452,-395,NA,NA,,United States of America,Texas,Kerr,NA,NA,,,1352,,,
5310,-99.53935569,31.83793708,1,Amangual-1808-04-20,SW1766,Amangual-1808-04-20,,"Same camp, cavallada stampede #3, hunters out, Cordero's band accompanies",600.0603027,142,NA,1808,4,20,,United States of America,Texas,Coleman,3,13,,,778,,,
5311,-99.53173696,31.83322301,1,Amangual-1808-04-19,SW1765,Amangual-1808-04-19,,"N 8L  along valley, across rocks, then plains to Colorado R tributary, many buffaloes, killed several",600.0603027,142,NA,1808,4,19,,United States of America,Texas,Coleman,3,20,,,778,,,
5312,-99.53,36.59,2,,34HP60,Jake Bluff,Clovis,KILL/PROCESS,636.8330688,10797,NA,-8847,NA,NA,Paleoindian,United States of America,Oklahoma,Woodward,1915,22,,,83,,,
5313,-99.51777778,44.08055556,3,5032,3951,Medicine Crow [39Bf2],,,487.9951172,170,7950,1780,NA,NA,,United States of America,South Dakota,Buffalo,0,36,Bison bison,,"1167, 18",,,
5314,-99.51067888,38.9252492,1,,,Soldier Anderson's hunt,,"Saw and shot a lone bull, then saw several dozen in small groups",687.1842651,79,NA,1871,10,12,,United States of America,Kansas,Ellis,NA,36,,,1102,,,
5315,-99.5,35.75,3,5250,4160,New Smith [34RM400],,,618.1427002,620,730,1330,NA,NA,,United States of America,Oklahoma,Roger Mills,31,1,Bison sp,,284,,,
5316,-99.5,44,3,5326,4212,Pretty Head [39LM232],,,487.9951172,1050,1150,900,NA,NA,,United States of America,South Dakota,Lyman,0,69,Bison bison,,"34, 167",,,
5317,-99.47978596,38.75820507,1,Fremont-1844-07-14,SW4043,Fremont-1844-07-14,,possibly in bison country headed east on Smokey Hill R,628.911438,106,NA,1844,7,14,,United States of America,Kansas,Ellis,3,3,,,"367, 619",,,
5318,-99.46003199,35.11111474,1,Marcy-1852-06-04,SW4305,Marcy-1852-06-04,,"5M N, see 4 cows with calves, can't kill, greyhounds get 2 young deer, but can't catch antelope",511.3396912,98,NA,1852,6,4,,United States of America,Oklahoma,Greer,3,3,,,826,,,
5319,-99.44924484,37.80991764,1,Bell-1820-08-08,SW1941,Bell-1820-08-08,,"24M downstream, elm and plumb trees, bearing fruit, vast herds bison",674.2059937,130,NA,1820,8,8,,United States of America,Kansas,Edwards,3,13,,,624,,,
5320,-99.443639,38.918552,2,,14EL313,Kraus 1,Site,CAMP,654.175415,927,NA,1023,NA,NA,Woodland,United States of America,Kansas,Ellis,339,7,,,561,,,
5321,-99.44079994,38.598575,1,MurrayCA-1835-08-12,SW3558,MurrayCA-1835-08-12,,"on Arkansas trib, go NE, CAM gets lost while hunting bison, falls in w grp Pawnee",651.6052246,115,NA,1835,8,12,,United States of America,Kansas,Rush,3,9,,,947,,,
5322,-99.43007242,37.86702485,1,Fowler-1821-10-22,SW2060,Fowler-1821-10-22,,"15M, Coon Ck,  kill fat cow, bison numerous? Findlay returns, kill m 4 fat cows ",674.2059937,129,NA,1821,10,22,,United States of America,Kansas,Edwards,3,17,,,221,,,
5323,-99.41638791,39.88246079,1,Fremont-1843-06-19,NW11562,Fremont-1843-06-19,1841-44-FremontNW,"cross the Pawnee Rd to the Arkansas, see bison bulls, kill antelope",646.5760498,107,NA,1843,6,19,,United States of America,Kansas,Phillips,3,8,Bison bison,,"367, 619",,,
5324,-99.40428213,43.79556735,1,LewisClark-1804-09-16,NW3594,LewisClark-1804-09-16,1804-06-LewisClark,"1M to Oocama camp, herds bison, kill 2 buff, 6 deer, see wolves, pronghorn",484.56073,146,NA,1804,9,16,,United States of America,South Dakota,Lyman,3,15,Bison bison,,1303,,,
5325,-99.39829964,37.89828065,1,Pike-1806-10-31,SW1548,Pike-1806-10-31,,"16M on Spanish  andnative tracks, killed 1 bison, 1 elk, 1 deer, ",674.2059937,144,NA,1806,10,31,,United States of America,Kansas,Edwards,3,4,,,"1020, 494",,,
5326,-99.37913617,38.11126761,1,Farnham-1839-06-20,SW3671,Farnham-1839-06-20,,"visiting with Caws, hunting bison, fight in party, likely 8M",669.2403564,111,NA,1839,6,20,,United States of America,Kansas,Pawnee,3,23,,,328,,,
5327,-99.36902966,43.80787367,1,LewisClark-1804-09-17,NW3595,LewisClark-1804-09-17,1804-06-LewisClark,"s camp, herds bison kill 1, ANAM, kill 2 m deer (1st seen), 4 wt deer, 1 coyote",484.56073,146,NA,1804,9,17,,United States of America,South Dakota,Lyman,3,14,Bison bison,,1303,,,
5328,-99.36666667,35.61666667,3,5251,4161,Linville II [34RM492],,,583.6360474,590,910,1360,NA,NA,,United States of America,Oklahoma,Custer,4,1,Bison sp,,284,,,
5329,-99.36666667,40.11666667,3,4686,3646,North Cove [25HN164],,,631.1342773,12965,14700,-11015,NA,NA,,United States of America,Nebraska,Harlan,0,1,Bison bison occidentalis,,1243,,,
5330,-99.36666667,41.86666667,3,5035,3954,Royel Goodenow [25LP8],,,728.4817505,280,280,1670,NA,NA,,United States of America,Nebraska,Loup,0,1,Bison sp,,1105,,,
5331,-99.36666667,43.61666667,3,5240,4153,39BR201,,,516.6871948,50,100,1900,NA,NA,,United States of America,South Dakota,Lyman,0,1,Bison sp,,1339,,,
5332,-99.36666667,44,3,5350,4236,Two Teeth [39BF204],,,479.6295776,50,250,1900,NA,NA,,United States of America,South Dakota,Lyman,0,1,Bison bison,,1198,,,
5333,-99.35602622,43.97463187,1,LewisClark-1804-09-18,NW3596,LewisClark-1804-09-18,1804-06-LewisClark,"7M, kill 11 wtd, 1 coyote, see md, bison, antelope, elk , many wolves",479.6295776,146,NA,1804,9,18,,United States of America,South Dakota,Lyman,3,13,Bison bison,,1303,,,
5334,-99.34875542,37.96726618,1,Fowler-1822-06-17,SW2232,Fowler-1822-06-17,,"to Oct 21 campsite, ""We Cold See at one time ten thousand Buffelow""",669.2403564,128,NA,1822,6,17,,United States of America,Kansas,Edwards,3,16,,,221,,,
5335,-99.348662,30.062193,2,,,41KR754,NA,NA,621.244751,10193,10253,-8243,NA,NA,,United States of America,Texas,Kerr,NA,NA,,,"1352, 838",,,
5336,-99.33990814,40.20452327,1,Fremont-1842-06-24,NW11474,Fremont-1842-06-24,1841-44-FremontNW,"21M, see 6 elk, pass old Pawnee bison hunting camps, bones",662.1542969,108,NA,1842,6,24,,United States of America,Nebraska,Harlan,2,7,Bison bison,,"367, 619",,,
5337,-99.33333333,43.58333333,3,5013,3932,Arp [39BR101],,,516.6871948,790,1530,1160,NA,NA,,United States of America,South Dakota,Brule,0,1,Bison bison,,394,,,
5338,-99.33222222,43.85472222,3,5019,3938,Dinehart [39LM33],,,484.56073,700,1000,1250,NA,NA,,United States of America,South Dakota,Lyman,0,14,Bison bison,,"1167, 186",,,
5339,-99.33166667,43.99722222,3,5021,3940,Crow Creek [39BF11],,,479.6295776,560,900,1390,NA,NA,,United States of America,South Dakota,Buffalo,0,2,Bison bison,,"1167, 707",,,
5340,-99.33,38.86,1,3,UMMZ-102162,"Ft Hayes, KS",,,654.175415,79,NA,1871,NA,NA,,United States of America,Kansas,Ellis,NA,NA,,UMMZ 102162,1281,,,
5341,-99.32723936,37.9862706,1,Pike-1806-10-30,SW1547,Pike-1806-10-30,,"4M, native and Spanish camps, kill bison for breakfast",669.2403564,144,NA,1806,10,30,,United States of America,Kansas,Edwards,3,4,,,"1020, 494",,,
5342,-99.3203845,37.95008529,1,SmithW-1839-08-27,SW3751,SmithW-1839-08-27,,"25M per day, saw 10 antelopes today, describes two types bison hunts",674.2059937,111,NA,1839,8,27,,United States of America,Kansas,Edwards,3,16,,,1211,,,
5343,-99.29242829,38.01339166,1,Fowler-1821-10-21,SW2059,Fowler-1821-10-21,,"10M, S50W, bison very abundant here, killing cows, trouble fording side creek",644.5305176,129,NA,1821,10,21,,United States of America,Kansas,Pawnee,3,16,,,221,,,
5344,-99.28,41.89,2,,25LP8,25LP8,site,CAMP,705.2728882,1125,NA,825,NA,NA,Late Prehistoric,United States of America,Nebraska,Loup,245,14,,,1105,,,
5345,-99.27,40.07,2,,25HN45,Blue Stone,Site,CAMP,611.3988647,1325,NA,625,NA,NA,Late Prehistoric,United States of America,Nebraska,Harlan,124,NA,,,773,,,
5346,-99.26185683,35.96790883,1,,,Buffalo Jones capturing bison calves,,"Herd about 200 miles south of Garden City; from Teepee Creek ""We crowded the horses up the trail until it left the breaks of the Beaver [Canadian River], and swung off to the left, heading for the upper pools of the main stream . . . twenty miles up. . . we were trundling along just at the edge of the breaks of the South Fork. . .""",623.2744751,63,NA,1887,5,NA,,United States of America,Oklahoma,Dewey,NA,60,Bison spotted at least 20 miles from these coordinates,,662,,,
5347,-99.25833333,49.90138889,3,33801,19550,Carberry [DlLt-VP],,,378.4415588,920,1410,1030,NA,NA,,Canada,Manitoba,.,0,1,Bison sp,,785,,,
5348,-99.258333,49.901389,2,,,Carberry [DlLt-VP],NA,dune sand with reworked humus overlying the upper of two palaeosols,378.4415588,1032,1292,918,NA,NA,,Canada,Manitoba,.,NA,NA,,,"1352, 838",,,
5349,-99.25658329,38.04639615,1,Pike-1806-10-29,SW1546,Pike-1806-10-29,,"12M, see bison herd with 2 wild horses in it, old native and Spanish camps, many bison trails",644.5305176,144,NA,1806,10,29,,United States of America,Kansas,Pawnee,3,8,,,"1020, 494",,,
5350,-99.25,30.75,3,5369,4255,Zesch Cave,,,470.6614075,10000,35000,-8050,NA,NA,,United States of America,Texas,Mason,0,1,Bison sp,,"413, 791, 1122",,,
5351,-99.25,34.616667,2,,,Perry Ranch [34JK81],NA,deteriorated bison bones and Plainview points redeposited on the floodplain,394.0133972,7668,8048,-5718,NA,NA,,United States of America,Oklahoma,Jackson,NA,NA,,,"1352, 838",,,
5352,-99.25,35.61666667,3,5252,4162,Mouse [34CU25],,,525.9924316,1000,1000,950,NA,NA,,United States of America,Oklahoma,Custer,75,4,Bison sp,,284,,,
5353,-99.25,35.61666667,3,5249,4159,Goodman I [34CU1],,,525.9924316,680,690,1270,NA,NA,,United States of America,Oklahoma,Custer,6,3,Bison sp,,284,,,
5354,-99.25,44,3,5001,3920,Fire Cloud [39Bf237],,,494.9328308,200,250,1750,NA,NA,,United States of America,South Dakota,Buffalo,0,1,Bison bison,,676,,,
5355,-99.24935002,35.9141725,1,Long-1820-08-21,SW2003,Long-1820-08-21,,"bison likely abundant thru 28th, berries, grapes good, many flies",580.8209229,130,NA,1820,8,21,,United States of America,Oklahoma,Dewey,3,13,,,624,,,
5356,-99.24,34.82,2,,34GR121,Howard Gully,Site,KILL/PROCESS,470.6260986,10860,NA,-8910,NA,NA,Paleoindian,United States of America,Oklahoma,Kiowa,35,2,,,603,,,
5357,-99.232234,38.181347,2,,,Forrest site [14PA303],9-14 cmbs,Unit 131,639.4676514,915,965,1035,NA,NA,,United States of America,Kansas,Pawnee,NA,NA,,,"1352, 838",,,
5358,-99.23071154,40.4740836,1,Todd-1855-07-20,NW12172,Todd-1855-07-20,1854-60-US Military,"Large mixed herds of bison approach fort, good chases, kill several",683.8285522,95,NA,1855,7,20,,United States of America,Nebraska,Phelps,3,20,Bison bison,,843,,,
5359,-99.220381,30.717774,2,,,41MS99,NA,EU 43,470.6614075,2276,2336,-326,NA,NA,,United States of America,Texas,Mason,NA,NA,,,"1352, 838",,,
5360,-99.220381,30.717774,2,,,41MS99,NA,EU 77,470.6614075,2149,2209,-199,NA,NA,,United States of America,Texas,Mason,NA,NA,,,"1352, 838",,,
5361,-99.220381,30.717774,2,,,41MS99,NA,EU 25,470.6614075,2085,2145,-135,NA,NA,,United States of America,Texas,Mason,NA,NA,,,"1352, 838",,,
5362,-99.220381,30.717774,2,,,41MS99,NA,NA,470.6614075,2042,2102,-92,NA,NA,,United States of America,Texas,Mason,NA,NA,,,"1352, 838",,,
5363,-99.220381,30.717774,2,,,41MS99,NA,SP 2,470.6614075,2032,2092,-82,NA,NA,,United States of America,Texas,Mason,NA,NA,,,"1352, 838",,,
5364,-99.220381,30.717774,2,,,41MS99,NA,TU 5,470.6614075,1928,1988,22,NA,NA,,United States of America,Texas,Mason,NA,NA,,,"1352, 838",,,
5365,-99.212545,38.215245,2,,14PA303,Forrest ,Site,CAMP,639.4676514,1030,NA,920,NA,NA,Woodland,United States of America,Kansas,Pawnee,220,5,,,560,,,
5366,-99.2099834,34.55602153,1,Marcy-1852-07-12,SW4343,Marcy-1852-07-12,,"to N fork Red at Otter Ck, water good, 6 deer, 1 turkey, see bison tracks (buffer zone?)",394.0133972,98,NA,1852,7,12,,United States of America,Oklahoma,Jackson,2,2,,,826,,,
5367,-99.200583,44.083964,2,,,39BF4,NA,in buried soil horizon,494.9328308,10427,10717,-8477,NA,NA,,United States of America,South Dakota,Buffalo,NA,NA,,,"1352, 838",,,
5368,-99.2,38.52,1,441,Sternberg M Mus-5016,"near Bison, Kansas",,,630.2653809,3,NA,1947,NA,NA,,United States of America,Kansas,Rush,NA,NA,,Sternberg M Mus 5016,1281,,,
5369,-99.19448,38.17669,3,48619,27213,Forrest site [14PA303],,,639.4676514,918,978,1032,NA,NA,,United States of America,Kansas,Pawnee,220,6,Bison bison,,560,,,
5370,-99.18848049,40.69506063,1,James-1820-06-17,SW1888,James-1820-06-17,,"small herds antelope, kill 1,  recent signs many hunted bison see 1, worry about meat supply",683.0514526,130,NA,1820,6,17,,United States of America,Nebraska,Buffalo,3,9,,,624,,,
5371,-99.18025505,38.16573826,1,Dodge-1835-08-29,SW3501,Dodge-1835-08-29,,"25M N85E to Pawnee Fk, hunting bison, picked out fat cow, thrown frm horse, badger hole",639.4676514,115,NA,1835,8,29,,United States of America,Kansas,Pawnee,3,16,,,"1007, 1010, 958",,,
5372,-99.17875021,38.11631037,1,Fowler-1821-10-20,SW2058,Fowler-1821-10-20,,"12M SW, large hordes of bison, lose Findlay who is out hunting for cows",644.5305176,129,NA,1821,10,20,,United States of America,Kansas,Pawnee,3,13,,,221,,,
5373,-99.15,35.33,2,,34WA2,Duncan,Site,CAMP,575.8606567,950,NA,1000,NA,NA,Late Prehistoric,United States of America,Oklahoma,Washita,804,15,,,120,,,
5374,-99.139828,19.910633,3,,,Tequixquiac,Upper Becerra-Lower sand and Gravel,,2291.564209,26800,35900,-24850,NA,NA,,Mexico,Mexico,.,1,NA,,,"1018, 176",,,
5375,-99.139828,19.910633,3,,,Tequixquiac,Upper Becerra-Unknown Depth,,2291.564209,21000,26000,-19050,NA,NA,,Mexico,Mexico,.,1,NA,,,"1018, 176",,,
5376,-99.139828,19.910633,2,,,Tequixquiac,Upper Becerra- Upper Alluvial Silts,,2291.564209,10800,NA,-8850,NA,NA,,Mexico,Mexico,.,1,NA,,,"1018, 176",,,
5377,-99.13810518,38.11866849,1,SmithW-1839-08-26,SW3750,SmithW-1839-08-26,,"now living on bison meat all together, party joined by 4 members on 16th",628.4459839,111,NA,1839,8,26,,United States of America,Kansas,Pawnee,3,16,,,1211,,,
